# Original heuristic Limited evaluations, on a roughly 0–5 scale.
# Name | rating | strategic tags | evaluation note (not Oracle text)
Animate Wall|0.55|aura,buildaround|Needs a worthwhile Wall; spending two cards on one attacker is fragile.
Armageddon|2.80|mana_denial,buildaround|Can lock in a board lead, especially with cheap attackers and artifact mana; poor when behind.
Balance|3.70|sweeper,buildaround|Powerful but symmetric across lands, hands and creatures; artifact mana helps break parity.
Benalish Hero|1.55|body,aggro,banding|A small body whose banding improves multi-creature combat and damage assignment.
Black Ward|0.70|aura,sideboard|Protection can stop black removal and Pestilence damage, but requires a useful creature.
Blaze of Glory|0.65|trick,defensive|A narrow defensive combat trick that needs a blocker capable of surviving.
Blessing|1.30|aura,mana_sink,white_mana|Repeatable pumping rewards heavy white mana, at the cost of Aura exposure.
Blue Ward|0.45|aura,sideboard|A narrow answer to blue interaction and blockers; usually a sideboard card.
Castle|0.70|defensive|Only helps creatures that are not attacking; even Serra Angel loses the bonus while attacking despite remaining untapped.
Circle of Protection: Black|1.45|sideboard,defensive|Strong against black damage and useful with your own Pestilence; costs mana to maintain.
Circle of Protection: Blue|0.85|sideboard,defensive|Matchup-dependent protection against blue damage, without removing attackers.
Circle of Protection: Green|1.10|sideboard,defensive|Useful against large green attackers when the matchup warrants it.
Circle of Protection: Red|1.70|sideboard,defensive|A strong sideboard answer to red burn and red creatures.
Circle of Protection: White|1.00|sideboard,defensive|Can contain white damage, but has no effect against other colors.
Consecrate Land|0.10|aura,narrow|Protecting one land rarely justifies spending a card.
Conversion|0.50|sideboard,white_mana|A powerful anti-Mountain effect with a recurring white upkeep cost.
Crusade|1.75|anthem,buildaround|Rewards many white creatures; opposing white creatures receive the bonus too.
Death Ward|0.80|trick|Cheap protection from some destruction; regeneration does not answer exile or all removal.
Disenchant|3.10|utility_removal|Cheap interaction with Beta's powerful artifacts and enchantments, including Control Magic.
Farmstead|0.10|aura,white_mana|Extreme white requirements for slow life gain and no board development.
Green Ward|0.60|aura,sideboard|May let a threat bypass green blockers, but remains a narrow Aura.
Guardian Angel|0.50|trick,defensive|Damage prevention rarely trades profitably without a specific combat situation.
Healing Salve|0.55|trick,defensive|The prevention mode can save a creature; life gain alone is low priority.
Holy Armor|0.45|aura,defensive|Toughness without meaningful pressure seldom repays the Aura risk.
Holy Strength|1.00|aura,aggro|A small permanent boost, best on evasion, but vulnerable to two-for-one removal.
Island Sanctuary|1.00|defensive,buildaround|Skipping draws is costly, and flying or islandwalk attackers still get through.
Karma|1.20|sideboard|Punishes Swamps symmetrically, making your own black mana a liability.
Lance|0.75|aura|First strike can improve combat, but needs a body and risks card disadvantage.
Mesa Pegasus|2.30|body,evasion,banding,aggro|Flying and banding make this more useful than its small stats suggest.
Northern Paladin|3.15|body,white_mana|A reasonable body with repeatable destruction against black permanents.
Pearled Unicorn|1.60|body|An unremarkable three-mana 2/2; use it when the pool needs creatures.
Personal Incarnation|3.05|body,finisher,white_mana|A large body with demanding mana and a serious life-loss consequence when it dies.
Purelace|0.05|narrow|Color changing is almost never worth a card without a specific hoser interaction.
Red Ward|0.85|aura,sideboard|Can protect a valuable creature from red burn and blockers.
Resurrection|2.45|recursion|Returns your own dead creature; better with impactful creatures and sufficient white mana.
Reverse Damage|1.10|trick,defensive|Can retroactively reverse a damaging event and swing a race, but is expensive and does not develop the board.
Righteousness|1.35|trick,defensive|An efficient blocking trick, but requires an opponent to attack into it.
Samite Healer|2.50|body,utility_creature,defensive|Repeatable prevention improves combat and protects one-toughness creatures from pingers.
Savannah Lions|2.70|body,aggro|Excellent early pressure when white is a main color; poor as a splash.
Serra Angel|4.65|body,evasion,finisher|An efficient large flyer whose vigilance supports both racing and defense.
Swords to Plowshares|4.75|removal,premium_removal,splashable|One-mana exile answers virtually every creature despite the opponent's life gain.
Veteran Bodyguard|2.75|body,defensive|A substantial defensive body that can redirect unblocked combat damage while untapped.
Wall of Swords|3.25|body,defender,defensive|A large flying blocker that stops many of Beta's best attackers.
White Knight|3.00|body,aggro|First strike and protection from black are strong, but early double white matters.
White Ward|0.45|aura,sideboard|Narrow protection with the usual risk of investing another card in a creature.
Wrath of God|4.45|sweeper|A true reset that prevents regeneration; stronger when your pool can recover or hold back threats.
Air Elemental|3.90|body,evasion,finisher|An efficient large flying threat, with a double-blue commitment.
Ancestral Recall|5.35|draw,splashable|Three cards at instant speed for one mana is exceptional card advantage.
Animate Artifact|0.55|aura,buildaround|Needs a useful noncreature artifact; animation adds vulnerability as well as a body.
Blue Elemental Blast|1.65|sideboard|Efficient against red spells and permanents, but has no general-purpose role.
Braingeyser|3.80|draw,mana_sink|Scalable card advantage; its double blue makes casual splashing difficult.
Clone|3.85|body,finisher,splashable|Targets and copies the best available creature as it is summoned, including an opponent's threat; it needs a legal creature in play.
Control Magic|4.95|removal,premium_removal,body|Stealing the best creature swings both sides of the board; enchantment removal can reverse it.
Copy Artifact|1.85|buildaround|Copies strong artifacts on either side; your own quality targets improve reliability.
Counterspell|3.20|interaction|A clean answer to any spell if you can hold up double blue in time.
Creature Bond|0.45|aura,narrow|Does not remove the enchanted creature; needs a second event to produce damage.
Drain Power|0.20|burst_ramp,narrow|Temporary mana is unreliable because the opponent can spend resources before it resolves.
Feedback|0.15|aura,narrow|Slow damage attached to an enchantment without disabling its effect.
Flight|0.80|aura|Evasion can matter on a large attacker, but the two-card investment is fragile.
Invisibility|1.25|aura,aggro|Can bypass most blockers, but requires double blue and a worthwhile attacker.
